Vis,ErrorScore,TruePercent,Reported
barchart_hor,0.3333333330000001,2.333333333,2
barchart_hor,0.16486486499999997,1.135135135,1.3
angles,5,265,260
angles,8,192,200
angles,5,265,260
angles,0,250,250
angles,6,321,315
angles,12,18,30
angles,5,205,200
angles,7,33,40
angles,5,245,240
angles,8,142,150
angles,4,206,210
angles,8,358,350
angles,7,247,240
angles,8,222,230
angles,1,261,260
angles,16,146,130
angles,13,353,340
angles,6,86,80
angles,3,187,190
angles,4,269,265
volume,61,125,64
volume,91,216,125
volume,127,343,216
volume,169,512,343
volume,0,27,27
volume,98,125,27
volume,19,27,8
volume,91,216,125
volume,91,216,125
volume,61,125,64
volume,19,27,8
volume,296,512,216
volume,117,343,226
volume,61,64,125
volume,169,512,343
volume,127,343,216
volume,0,64,64
volume,19,27,8
volume,296,512,216
volume,0,125,125
